КС-1.4
КС-2.3
КС-5.6
КС-7.8
КС-9.10
ГКС
ЛЭС
ЭВС
ДС
АиМО
СЗК
ХМТРиСО
Служба связи
ВПО
Административный блок
ООСиЛК
